source,target,player_list,player_count,goals,value
Toronto 2024-2025,Toronto 2025-2026,"['Anna Kjellbin', 'Savannah Harmon', 'Emma Maltais', 'Jesse Compher', 'Raygan Kirk', 'Anneke Rankila', 'Blayre Turnbull', 'Kali Flanagan', 'Daryl Watts', 'Natalie Spooner', 'Emma Woods', 'Maggie Connors', 'Jessica Kondas', 'Allie Munroe', 'Renata Fast']",15,49,49
Montréal 2024-2025,Vancouver 2025-2026,"['Jenn Gardiner', 'Abby Boreen']",2,11,11
Montréal 2024-2025,Seattle 2025-2026,"['Anna Wilgren', 'Cayla Barnes', 'Mariah Keopple', 'Gabrielle David', 'Mikyla Grant-Mentis']",5,11,11
Toronto 2024-2025,Montréal 2025-2026,"['Kaitlin Willoughby', 'Hayley Scamurra']",2,1,1
Montréal 2024-2025,Toronto 2025-2026,"['Claire Dalton', 'Elaine Chuli']",2,3,3
Montréal 2024-2025,New York 2025-2026,"['Clair DeGeorge', ""Kristin O'Neill""]",2,1,1
New York 2024-2025,Montréal 2025-2026,"['Abby Roque', 'Jade Downie-Landry']",2,10,10
New York 2024-2025,Vancouver 2025-2026,['Gabby Rosenthal'],1,1,1
New York 2024-2025,Ottawa 2025-2026,"['Alexie Guay', 'Brooke Hobson']",2,1,1
Toronto 2024-2025,New York 2025-2026,"['Lauren Bernard', 'Olivia Knowles']",2,0,0
New York 2024-2025,Seattle 2025-2026,"['Alex Carpenter', 'Corinne Schroeder']",2,11,11
New York 2024-2025,Minnesota 2025-2026,['Élizabeth Giguère'],1,2,2
New York 2024-2025,Toronto 2025-2026,['Ella Shelton'],1,8,8
Ottawa 2024-2025,Vancouver 2025-2026,"['Emerance Maschmeyer', 'Tereza Vanišová', 'Mannon McMahon', 'Anna Meixner', 'Ashton Bell']",5,23,23
Ottawa 2024-2025,Ottawa 2025-2026,"['Brianne Jenner', 'Gwyneth Philips', 'Rebecca Leslie', 'Taylor House', 'Kateřina Mrázová', 'Alexa Vasko', 'Emily Clark', 'Gabbie Hughes', 'Ronja Savolainen', 'Stephanie Markowski']",10,31,31
Ottawa 2024-2025,Minnesota 2025-2026,['Jincy Roese'],1,3,3
Ottawa 2024-2025,Seattle 2025-2026,"['Aneta Tejralová', 'Natalie Snodgrass', 'Danielle Serdachny']",3,4,4
Ottawa 2024-2025,Montréal 2025-2026,"['Samantha Isbell', 'Shiann Darkangelo']",2,8,8
Ottawa 2024-2025,Boston 2025-2026,['Zoe Boyd'],1,0,0
Toronto 2024-2025,Ottawa 2025-2026,['Jocelyne Larocque'],1,0,0
Toronto 2024-2025,Boston 2025-2026,"['Laura Kluge', 'Noemi Neubauerová', 'Rylind MacKinnon']",3,0,0
Toronto 2024-2025,Vancouver 2025-2026,"['Hannah Miller', 'Izzy Daniel', 'Kristen Campbell', 'Sarah Nurse']",4,18,18
Toronto 2024-2025,Seattle 2025-2026,"['Carly Jackson', 'Megan Carter', 'Julia Gosling']",3,4,4
Toronto 2024-2025,Minnesota 2025-2026,['Samantha Cogan'],1,0,0
Boston 2025-2026,Boston 2026-2027,"['Laura Kluge', 'Susanna Tapani', 'Sophie Shirley', 'Megan Keller', 'Rylind MacKinnon', 'Shay Maloney', 'Liz Schepers', 'Aerin Frankel', 'Amanda Thiele', 'Ella Huber', 'Jill Saulnier', 'Haley Winn', 'Olivia Mobley', 'Loren Gabel']",14,43,43
Boston 2025-2026,Montréal 2026-2027,['Jessie Eldridge'],1,7,7
Boston 2025-2026,San Jose 2026-2027,"['Daniela Pejšová', 'Abbey Levy', 'Hadley Hartmetz']",3,2,2
Boston 2025-2026,Toronto 2026-2027,['Jamie Lee Rattray'],1,4,4
Boston 2025-2026,Hamilton 2026-2027,"['Zoe Boyd', 'Alina Müller', 'Riley Brengman']",3,6,6
Boston 2025-2026,Seattle 2026-2027,['Noemi Neubauerová'],1,0,0
Boston 2025-2026,Detroit 2026-2027,['Mia Biotti'],1,0,0
Minnesota 2025-2026,Minnesota 2026-2027,"['Taylor Heise', 'Klára Hymlárová', 'Grace Zumwinkle', 'Marlène Boissonnault', 'Lee Stecklein', 'Claire Butorac', 'Peyton Anderson', 'Dominique Petrie', 'Sidney Morin', 'Élizabeth Giguère', 'Maddie Rooney', 'Samantha Cogan', 'Brooke Becker', 'Kelly Pannek', 'Natalie Buchbinder']",15,50,50
Minnesota 2025-2026,Las Vegas 2026-2027,"['Mae Batherson', 'Katy Knoll', 'Kendall Cooper', 'Nicole Hensley', 'Madison Bizal']",5,12,12
Minnesota 2025-2026,Detroit 2026-2027,['Britta Curl-Salemme'],1,11,11
Minnesota 2025-2026,Hamilton 2026-2027,['Abby Hustler'],1,4,4
Montréal 2025-2026,Las Vegas 2026-2027,"['Hayley Scamurra', 'Maureen Murphy', 'Erin Ambrose']",3,12,12
